datetime,tamin_degC,tamax_degC,ptot_mm
1987-11-26,-13.35243061,-4.786923198699951,1.9808937311172485
1987-11-27,-15.92712048,-4.4924943733215335,3.9990756511688232
1987-11-28,-11.25374916,-3.349495439529419,2.681579113006592
1987-11-29,-8.833845406,-1.9574414777755738,0.16071611642837524
1987-11-30,-6.963533192,-1.982015995979309,2.066617965698242
1987-12-01,-8.326731949,-3.8277454662323,0.0
1987-12-02,-9.42404583,-3.7569649505615237,1.5925651788711548
1987-12-03,-9.040359764,-4.724250583648682,0.16777093708515167
1987-12-04,-8.798494606,-3.1726532268524172,0.0
1987-12-05,-10.26730755,-5.334003238677979,0.0
1987-12-06,-19.39153793,-4.92937162399292,0.0
1987-12-07,-15.24197796,-6.171729354858399,4.007765769958496
1987-12-08,-10.58516434,-3.7080829429626467,0.24820218980312347
1987-12-09,-11.68251827,-4.135430841445923,0.0008870667079463601
1987-12-10,-17.06812599,-6.683781890869141,0.0
1987-12-11,-15.7896426,-5.337027816772461,0.0
1987-12-12,-11.204963,-2.9013383674621585,0.0
1987-12-13,-15.77155331,-6.758658199310303,0.0
1987-12-14,-23.30654648,-12.162435798645019,0.0
1987-12-15,-24.04285744,-11.881826667785644,0.0
1987-12-16,-24.48598793,-12.691245346069335,0.0
1987-12-17,-24.91229752,-13.186139373779296,1.9703196287155151
1987-12-18,-22.50624969,-10.964337615966796,0.5898033380508423
1987-12-19,-18.73358849,-13.104821472167968,0.4458880126476288
1987-12-20,-18.10700729,-9.264892845153808,0.0418212004005909
1987-12-21,-12.24177006,-7.556189804077149,2.15731143951416
1987-12-22,-13.64837292,-4.532569913864136,1.0922541618347168
1987-12-23,-15.23777893,-10.787140159606933,0.19737927615642548
1987-12-24,-18.88436249,-11.673522262573242,1.9522665739059448
1987-12-25,-20.26884773,-16.398992805480958,0.0
1987-12-26,-21.40846375,-15.991282730102538,0.352519154548645
1987-12-27,-27.00306061,-18.056878356933595,0.23713520169258118
1987-12-28,-29.34321716,-18.93185356140137,0.24403323233127594
1987-12-29,-35.13453415,-22.180487899780275,2.2311248779296875
